symbol, name, exchange, marketCap, IPOYear, sector, industry, summary
USMD,USMD Holdings Inc.,NASDAQ,7.987E7,,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/usmd
UTMD,Utah Medical Products Inc.,NASDAQ,2.1418E8,,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/utmd
UTIW,UTi Worldwide Inc.,NASDAQ,7.3712E8,2000,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/utiw
UTSI,UTStarcom Holdings Corp,NASDAQ,9.114E7,2000,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/utsi
VLRX,Valeritas Inc.,NASDAQ,,,n/a,n/a,http://www.nasdaq.com/symbol/vlrx
VALX,Validea Market Legends ETF,NASDAQ,2.284E7,,n/a,n/a,http://www.nasdaq.com/symbol/valx
VALU,Value Line Inc.,NASDAQ,1.5346E8,1983,Finance,Investment Managers,http://www.nasdaq.com/symbol/valu
VNDA,Vanda Pharmaceuticals Inc.,NASDAQ,4.1188E8,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vnda
VWOB,Vanguard Emerging Markets Government Bond ETF,NASDAQ,4.1051E8,,n/a,n/a,http://www.nasdaq.com/symbol/vwob
VNQI,Vanguard Global ex-U.S. Real Estate ETF,NASDAQ,3.11E9,,n/a,n/a,http://www.nasdaq.com/symbol/vnqi
VGIT,Vanguard Intermediate -Term Government Bond ETF,NASDAQ,3.5492E8,,n/a,n/a,http://www.nasdaq.com/symbol/vgit
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,NASDAQ,5.43E9,,n/a,n/a,http://www.nasdaq.com/symbol/vcit
VCLT,Vanguard Long-Term Corporate Bond ETF,NASDAQ,1.0E9,,n/a,n/a,http://www.nasdaq.com/symbol/vclt
VGLT,Vanguard Long-Term Government Bond ETF,NASDAQ,1.2694E8,,n/a,n/a,http://www.nasdaq.com/symbol/vglt
VMBS,Vanguard Mortgage-Backed Securities ETF,NASDAQ,1.5E9,,n/a,n/a,http://www.nasdaq.com/symbol/vmbs
VNR,Vanguard Natural Resources LLC,NASDAQ,7.1364E8,,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vnr
VNRAP,Vanguard Natural Resources LLC,NASDAQ,,,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vnrap
VNRBP,Vanguard Natural Resources LLC,NASDAQ,9.233E7,,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vnrbp
VNRCP,Vanguard Natural Resources LLC,NASDAQ,,,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vnrcp
VONE,Vanguard Russell 1000 ETF,NASDAQ,5.2877E8,,n/a,n/a,http://www.nasdaq.com/symbol/vone
VONG,Vanguard Russell 1000 Growth ETF,NASDAQ,4.8052E8,,n/a,n/a,http://www.nasdaq.com/symbol/vong
VONV,Vanguard Russell 1000 Value ETF,NASDAQ,4.2374E8,,n/a,n/a,http://www.nasdaq.com/symbol/vonv
VTWO,Vanguard Russell 2000 ETF,NASDAQ,5.61E8,,n/a,n/a,http://www.nasdaq.com/symbol/vtwo
VTWG,Vanguard Russell 2000 Growth ETF,NASDAQ,1.4619E8,,n/a,n/a,http://www.nasdaq.com/symbol/vtwg
VTWV,Vanguard Russell 2000 Value ETF,NASDAQ,7.487E7,,n/a,n/a,http://www.nasdaq.com/symbol/vtwv
VTHR,Vanguard Russell 3000 ETF,NASDAQ,1.7257E8,,n/a,n/a,http://www.nasdaq.com/symbol/vthr
VCSH,Vanguard Short-Term Corporate Bond ETF,NASDAQ,1.047E10,,n/a,n/a,http://www.nasdaq.com/symbol/vcsh
VGSH,Vanguard Short-Term Government ETF,NASDAQ,5.7855E8,,n/a,n/a,http://www.nasdaq.com/symbol/vgsh
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,NASDAQ,1.78E9,,n/a,n/a,http://www.nasdaq.com/symbol/vtip
BNDX,Vanguard Total International Bond ETF,NASDAQ,3.5E9,,n/a,n/a,http://www.nasdaq.com/symbol/bndx
VXUS,Vanguard Total International Stock ETF,NASDAQ,4.65E9,,n/a,n/a,http://www.nasdaq.com/symbol/vxus
VPCO,Vapor Corp.,NASDAQ,3710000.0,,Consumer Non-Durables,Tobacco,http://www.nasdaq.com/symbol/vpco
VPCOU,Vapor Corp.,NASDAQ,,,Consumer Non-Durables,Tobacco,http://www.nasdaq.com/symbol/vpcou
VRNS,Varonis Systems Inc.,NASDAQ,4.194E8,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/vrns
VDSI,VASCO Data Security International Inc.,NASDAQ,7.8539E8,,Technology,EDP Services,http://www.nasdaq.com/symbol/vdsi
VBLT,Vascular Biogenics Ltd.,NASDAQ,1.1117E8,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vblt
