symbol, name, exchange, marketCap, IPOYear, sector, industry, summary
SRF,Cushing Energy Income Fund (The),NYSE,1120000.0,2012,n/a,n/a,http://www.nasdaq.com/symbol/srf
SZC,Cushing Renaissance Fund (The),NYSE,9.517E7,2012,n/a,n/a,http://www.nasdaq.com/symbol/szc
CUBI,Customers Bancorp Inc,NYSE,8.054E8,,Finance,Major Banks,http://www.nasdaq.com/symbol/cubi
CUBI-C,Customers Bancorp Inc,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/cubi-c
CUBS,Customers Bancorp Inc,NYSE,,,Finance,Major Banks,http://www.nasdaq.com/symbol/cubs
CSI,Cutwater Select Income Fund,NYSE,2.01E8,,n/a,n/a,http://www.nasdaq.com/symbol/csi
CVT,CVENT INC.,NYSE,1.45E9,1987,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvt
CVI,CVR Energy Inc.,NYSE,3.96E9,2007,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvi
UAN,CVR Partners LP,NYSE,6.0473E8,2011,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/uan
CVRR,CVR Refining LP,NYSE,3.04E9,2013,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvrr
CVS,CVS Health Corporation,NYSE,1.018E11,,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/cvs
CELP,Cypress Energy Partners L.P.,NYSE,1.2934E8,2014,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/celp
CYS,CYS Investments Inc.,NYSE,1.17E9,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cys
CYS-A,CYS Investments Inc.,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/cys-a
CYS-B,CYS Investments Inc.,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/cys-b
CYT,Cytec Industries Inc.,NYSE,5.33E9,,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cyt
DHI,D.R. Horton Inc.,NYSE,1.182E10,,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/dhi
DAN,Dana Holding Corporation,NYSE,2.38E9,,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dan
DHR,Danaher Corporation,NYSE,6.671E10,,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dhr
DAC,Danaos Corporation,NYSE,6.6528E8,2006,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dac
DQ,DAQO New Energy Corp.,NYSE,1.3459E8,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/dq
DRI,Darden Restaurants Inc.,NYSE,7.06E9,,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dri
DAR,Darling Ingredients Inc.,NYSE,1.55E9,,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/dar
DVA,DaVita healthCare Partners Inc.,NYSE,1.551E10,,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/dva
DPM,DCP Midstream Partners LP,NYSE,2.89E9,2005,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/dpm
DCT,DCT Industrial Trust Inc,NYSE,3.35E9,2006,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dct
DDR,DDR Corp.,NYSE,6.21E9,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ddr
DDR-J,DDR Corp.,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/ddr-j
DDR-K,DDR Corp.,NYSE,,,n/a,n/a,http://www.nasdaq.com/symbol/ddr-k
DF,Dean Foods Company,NYSE,1.72E9,,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/df
DECK,Deckers Outdoor Corporation,NYSE,1.62E9,1993,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/deck
DE,Deere & Company,NYSE,2.477E10,,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/de
DEX,Delaware Enhanced Global Dividend,NYSE,1.5435E8,2007,n/a,n/a,http://www.nasdaq.com/symbol/dex
DDF,Delaware Investments Dividend & Income Fund Inc.,NYSE,7.99E7,1993,n/a,n/a,http://www.nasdaq.com/symbol/ddf
DKL,Delek Logistics Partners L.P.,NYSE,7.777E8,2012,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/dkl
DK,Delek US Holdings Inc.,NYSE,1.68E9,2006,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/dk
DLPH,Delphi Automotive plc,NYSE,2.415E10,2011,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dlph
DAL,Delta Air Lines Inc.,NYSE,3.835E10,,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/dal
DEL,Deltic Timber Corporation,NYSE,7.7846E8,,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/del
DLX,Deluxe Corporation,NYSE,2.83E9,,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/dlx
DMD,Demand Media Inc.,NYSE,1.1903E8,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/dmd
DWRE,DEMANDWARE INC.,NYSE,1.93E9,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/dwre
DNR,Denbury Resources Inc.,NYSE,1.16E9,,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dnr
DKT,Deutsch Bk Contingent Cap Tr V,NYSE,,,Finance,Major Banks,http://www.nasdaq.com/symbol/dkt
DB,Deutsche Bank AG,NYSE,3.567E10,,Finance,Major Banks,http://www.nasdaq.com/symbol/db
DTK,Deutsche Bank AG,NYSE,,,Finance,Major Banks,http://www.nasdaq.com/symbol/dtk
DXB,Deutsche Bank AG,NYSE,,,Finance,Major Banks,http://www.nasdaq.com/symbol/dxb
DVN,Devon Energy Corporation,NYSE,1.86E10,,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dvn
DV,DeVry Education Group Inc.,NYSE,1.47E9,,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/dv
DHX,DHI Group Inc.,NYSE,4.8922E8,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/dhx
DHT,DHT Holdings Inc.,NYSE,6.6017E8,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dht
DEO,Diageo plc,NYSE,7.327E10,,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/deo
DO,Diamond Offshore Drilling Inc.,NYSE,3.02E9,1995,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/do
